24 15 
30.62 25.82 36.65 
39.42 43.74 42.16 
30.76 21.95 25.44 
44.80 23.99 34.68 
16.07 28.20 23.54 
25.78 20.54 30.04 
27.36 26.40 34.74 
31.74 35.75 34.60 
40.34 25.11 16.05 
42.21 37.43 30.38 
35.11 37.88 31.02 
17.59 25.97 41.03 
42.85 40.50 15.41 
22.14 28.39 41.63 
27.56 26.54 24.19 
37.07 35.68 27.02 
34.76 26.68 26.01 
33.86 34.10 29.65 
38.12 16.81 21.31 
36.88 18.59 25.73 
38.92 32.76 18.34 
27.36 38.20 42.06 
28.80 23.98 25.91 
21.50 37.79 20.83 
28.57 42.71 43.01 
24.04 33.17 43.16 
20.97 36.30 15.15 
40.78 35.29 15.84 
21.40 21.50 38.66 
28.59 21.38 41.39 
37.37 43.52 24.16 
40.32 19.52 35.10 
35.54 44.83 23.49 
15.61 31.34 38.27 
18.89 18.68 24.45 
34.23 37.61 43.97 
29.17 22.80 32.69 
21.81 37.01 27.11 
40.76 34.45 34.81 
28.93 27.26 26.56 
18.96 32.69 25.90 
42.14 20.85 30.58 
29.81 42.91 16.95 
17.90 42.75 25.62 
35.74 28.52 39.59 
27.44 17.48 39.50 
18.81 44.72 37.53 
37.34 35.97 38.13 
38.79 20.33 35.34 
19.98 29.93 21.02 
22.61 19.37 25.21 
24.38 37.62 18.58 
27.65 36.46 16.08 
23.05 34.76 26.24 
26.89 40.99 36.93 
41.57 39.23 35.58 
25.49 36.53 15.73 
41.73 24.11 40.59 
16.55 44.68 39.46 
23.93 38.48 20.68 
16.80 22.58 43.65 
19.47 38.00 29.39 
33.84 28.75 22.17 
41.59 43.66 17.73 
22.67 38.08 33.12 
27.59 36.06 19.32 
34.54 40.54 30.55 
32.37 28.24 15.78 
32.39 27.65 27.99 
28.85 20.78 36.83 
34.33 30.08 17.44 
35.67 27.83 42.05 
27.63 29.81 39.86 
22.64 28.79 28.94 
15.41 24.77 42.68 
28.60 26.97 25.49 
43.33 35.38 34.84 
17.79 33.25 40.90 
24.90 33.90 15.38 
38.99 44.74 17.07 
36.07 42.68 18.67 
15.34 22.61 27.87 
40.46 38.73 16.31 
34.91 17.00 33.87 
22.48 15.21 41.87 
25.22 42.96 24.06 
22.36 27.82 33.22 
37.41 38.77 21.83 
19.30 27.25 42.73 
35.66 39.08 28.16 
41.76 31.71 33.64 
25.73 30.47 16.43 
25.55 28.49 43.57 
21.47 17.20 35.96 
42.89 23.95 42.14 
41.89 31.50 28.13 
25.77 21.42 23.92 
24.29 33.80 41.80 
35.74 40.88 24.16 
35.20 26.06 17.18 
40.72 32.83 18.74 
34.06 40.66 36.69 
15.93 19.04 41.66 
23.45 34.54 32.94 
44.64 42.64 37.31 
37.53 36.07 32.63 
34.19 16.52 27.68 
28.68 24.28 26.86 
22.04 31.76 21.54 
35.42 43.59 26.63 
16.16 38.10 41.93 
44.01 23.78 32.36 
31.31 26.66 24.51 
22.54 16.12 42.99 
16.36 21.04 31.24 
41.65 22.46 43.21 
22.83 35.80 18.49 
25.20 32.57 31.71 
22.03 38.27 19.08 
37.43 34.00 30.75 
21.01 44.03 28.40 
41.59 33.34 40.33 
23.44 27.82 32.64 
33.42 22.61 41.94 
18.10 41.84 42.45 
25.61 21.17 31.05 
34.31 44.14 31.65 
37.77 16.68 33.61 
17.98 18.88 38.95 
29.80 44.86 24.87 
35.65 25.87 25.53 
44.14 19.63 26.81 
32.08 36.07 21.07 
24.69 38.34 19.34 
26.03 39.96 42.42 
34.21 34.99 34.24 
24.77 37.16 36.57 
19.41 36.94 40.67 
25.41 42.35 31.95 
39.53 34.44 42.41 
22.81 42.01 35.17 
22.43 40.29 39.63 
28.67 29.34 17.87 
28.41 22.52 25.32 
17.92 34.69 41.24 
43.45 26.77 30.88 
39.05 22.24 32.99 
44.20 19.76 29.84 
29.23 41.17 31.12 
23.32 26.21 35.35 
23.24 30.19 44.78 
18.51 29.07 16.55 
36.60 41.71 20.43 
28.29 18.67 40.40 
26.92 24.07 41.60 
34.73 24.91 43.18 
37.23 44.18 26.99 
30.42 27.29 15.41 
31.95 24.02 19.24 
27.19 33.58 41.82 
30.71 18.84 18.54 
41.82 40.93 30.54 
21.05 39.30 15.28 
17.81 43.06 39.37 
41.34 19.31 38.56 
44.85 25.28 16.99 
34.67 17.58 15.99 
29.31 32.99 29.89 
41.37 33.63 18.67 
35.08 24.35 33.65 
39.76 39.69 27.19 
17.27 29.77 33.25 
16.88 19.30 16.86 
